query,ai_engine,model,timestamp,response_length,response_quality,total_citations,your_brand_mentioned,competitors_mentioned,total_brands_mentioned,contains_recommendations,contains_specific_products,mention_context,top_competitors
best mineral sunscreen 2024,openai,gpt-4,2025-09-01T00:23:52.880620,1885,0.9000000000000001,4,False,4,4,True,True,,"coola, eltamd, neutrogena"
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-09-01T00:23:47.386589,1964,0.7,2,False,2,2,True,True,,"coola, eltamd"
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:23:57.051074,2660,0.9000000000000001,4,False,4,4,True,True,,"supergoop, thinkbaby, eltamd"
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-09-01T00:23:59.308462,4155,0.9000000000000001,7,False,7,7,True,True,,"thinksport, blue lizard, aveeno"
top rated zinc oxide sunscreen,openai,gpt-4,2025-09-01T00:23:53.775673,1826,0.9000000000000001,6,False,3,3,False,True,,"eltamd, neutrogena, blue lizard"
top rated zinc oxide sunscreen,openai,gpt-3.5-turbo,2025-09-01T00:23:51.454007,2056,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, aveeno, badger"
top rated zinc oxide sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:24:05.841027,2748,0.9000000000000001,5,False,5,5,True,False,,"thinkbaby, neutrogena, supergoop"
top rated zinc oxide sunscreen,google,gemini-1.5-pro,2025-09-01T00:24:07.392264,3827,0.8,6,False,6,6,True,True,,"thinksport, thinkbaby, blue lizard"
mineral powder sunscreen recommendations,openai,gpt-4,2025-09-01T00:24:08.005117,2598,0.8,3,False,1,1,True,False,,supergoop
mineral powder sunscreen recommendations,openai,gpt-3.5-turbo,2025-09-01T00:24:01.289043,2286,0.7,2,True,1,2,True,False,**Brush On Block Mineral Sunscreen Powder SPF 30**: This mineral powder sunscreen comes in a self-dispensing brush for easy application,supergoop
mineral powder sunscreen recommendations,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:24:09.293641,1478,0.5,0,False,0,0,True,False,,
mineral powder sunscreen recommendations,google,gemini-1.5-pro,2025-09-01T00:24:15.974712,3981,0.8,3,True,2,3,True,False,"Here are some recommendations, categorized by skin type and need:

**For Sensitive Skin:**

* **Brush On Block Mineral Powder Sunscreen SPF 30:** This translucent powder is fragrance-free, oil-free, and hypoallergenic, making it ideal for even the most sensitive skin","thinksport, supergoop"
best reef safe sunscreen,openai,gpt-4,2025-09-01T00:24:19.376689,2454,0.9000000000000001,11,False,5,5,True,True,,"thinksport, thinkbaby, blue lizard"
best reef safe sunscreen,openai,gpt-3.5-turbo,2025-09-01T00:24:11.313765,1797,0.8,4,False,4,4,True,True,,"thinksport, badger, all good"
best reef safe sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:24:19.377244,2159,0.9000000000000001,5,False,5,5,True,True,,"thinksport, all good, sun bum"
best reef safe sunscreen,google,gemini-1.5-pro,2025-09-01T00:24:22.829749,3309,0.9000000000000001,7,False,7,7,True,True,,"thinkbaby, blue lizard, banana boat"
dermatologist recommended mineral sunscreen,openai,gpt-4,2025-09-01T00:24:20.341196,2056,0.9000000000000001,6,False,3,3,True,True,,"eltamd, neutrogena, blue lizard"
dermatologist recommended mineral sunscreen,openai,gpt-3.5-turbo,2025-09-01T00:24:19.902382,2315,0.8,3,False,3,3,True,True,,"aveeno, cerave, eltamd"
dermatologist recommended mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:24:30.118206,2303,0.8,3,False,3,3,True,False,,"cerave, eltamd, neutrogena"
dermatologist recommended mineral sunscreen,google,gemini-1.5-pro,2025-09-01T00:24:33.079103,3912,0.9000000000000001,6,False,5,5,True,True,,"thinkbaby, supergoop, badger"
best mineral sunscreen for face,openai,gpt-4,2025-09-01T00:24:31.992968,2401,0.9000000000000001,8,False,4,4,True,True,,"coola, eltamd, neutrogena"
best mineral sunscreen for face,openai,gpt-3.5-turbo,2025-09-01T00:24:23.773864,2246,0.8,3,False,3,3,True,True,,"coola, drunk elephant, eltamd"
best mineral sunscreen for face,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:24:34.952638,2417,0.9000000000000001,6,False,4,4,True,False,,"supergoop, cerave, eltamd"
best mineral sunscreen for face,google,gemini-1.5-pro,2025-09-01T00:24:38.996318,4232,0.9000000000000001,4,False,3,3,True,True,,"supergoop, cerave, eltamd"
high SPF mineral sunscreen,openai,gpt-4,2025-09-01T00:24:42.709072,2439,0.9000000000000001,8,False,4,4,True,True,,"coola, eltamd, neutrogena"
high SPF mineral sunscreen,openai,gpt-3.5-turbo,2025-09-01T00:24:36.001416,1913,0.8,3,False,3,3,True,True,,"supergoop, cerave, eltamd"
high SPF mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:24:41.078554,1487,0.8,3,False,3,3,True,False,,"cerave, eltamd, neutrogena"
high SPF mineral sunscreen,google,gemini-1.5-pro,2025-09-01T00:24:49.372396,3660,0.9000000000000001,6,False,6,6,True,True,,"thinkbaby, blue lizard, supergoop"
mineral sunscreen for sensitive skin,openai,gpt-4,2025-09-01T00:24:46.800225,2100,0.9000000000000001,8,False,4,4,False,True,,"aveeno, eltamd, neutrogena"
mineral sunscreen for sensitive skin,openai,gpt-3.5-turbo,2025-09-01T00:24:43.948029,2530,0.9000000000000001,4,False,4,4,True,True,,"cerave, eltamd, neutrogena"
mineral sunscreen for sensitive skin,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:24:52.151595,2190,0.8,3,False,3,3,True,False,,"badger, cerave, eltamd"
mineral sunscreen for sensitive skin,google,gemini-1.5-pro,2025-09-01T00:24:57.168093,3843,0.9000000000000001,5,False,5,5,True,True,,"thinkbaby, blue lizard, badger"
best chemical free sunscreen,openai,gpt-4,2025-09-01T00:25:01.048837,2660,0.9000000000000001,10,False,4,4,True,True,,"thinksport, alba botanica, badger"
best chemical free sunscreen,openai,gpt-3.5-turbo,2025-09-01T00:24:49.995091,1844,0.9000000000000001,5,False,5,5,True,False,,"thinkbaby, blue lizard, alba botanica"
best chemical free sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:24:58.285112,1712,0.9000000000000001,4,False,4,4,True,False,,"thinkbaby, eltamd, cerave"
best chemical free sunscreen,google,gemini-1.5-pro,2025-09-01T00:25:03.766300,3649,0.9000000000000001,5,False,5,5,True,True,,"thinksport, thinkbaby, blue lizard"
organic mineral sunscreen brands,openai,gpt-4,2025-09-01T00:25:05.961390,2695,0.9000000000000001,5,False,3,3,True,True,,"badger, coola, blue lizard"
organic mineral sunscreen brands,openai,gpt-3.5-turbo,2025-09-01T00:25:01.035468,2199,0.7,3,False,3,3,True,False,,"thinksport, badger, all good"
organic mineral sunscreen brands,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:25:07.311556,1789,0.6000000000000001,1,False,1,1,True,False,,badger
organic mineral sunscreen brands,google,gemini-1.5-pro,2025-09-01T00:25:15.036185,3742,0.9000000000000001,7,False,7,7,True,True,,"thinksport, thinkbaby, blue lizard"
luxury mineral sunscreen products,openai,gpt-4,2025-09-01T00:25:26.964356,2924,0.7,2,False,1,1,True,True,,eltamd
luxury mineral sunscreen products,openai,gpt-3.5-turbo,2025-09-01T00:25:07.957596,2204,0.7,2,False,1,1,True,True,,supergoop
luxury mineral sunscreen products,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:25:17.698740,2582,0.6000000000000001,1,False,1,1,True,False,,supergoop
luxury mineral sunscreen products,google,gemini-1.5-pro,2025-09-01T00:25:23.903981,4402,0.7,2,False,2,2,True,True,,"supergoop, eltamd"
affordable mineral sunscreen options,openai,gpt-4,2025-09-01T00:25:21.380040,2513,0.9000000000000001,6,False,3,3,False,True,,"cerave, eltamd, neutrogena"
affordable mineral sunscreen options,openai,gpt-3.5-turbo,2025-09-01T00:25:18.862156,2320,0.8,3,False,3,3,True,True,,"aveeno, cerave, neutrogena"
affordable mineral sunscreen options,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:25:26.590964,1686,0.8,3,False,3,3,True,True,,"cerave, neutrogena, blue lizard"
affordable mineral sunscreen options,google,gemini-1.5-pro,2025-09-01T00:25:34.084587,4064,0.8,3,False,3,3,True,True,,"badger, cerave, sun bum"
travel size mineral sunscreen,openai,gpt-4,2025-09-01T00:25:35.157195,2452,0.9000000000000001,10,False,4,4,False,True,,"coola, supergoop, eltamd"
travel size mineral sunscreen,openai,gpt-3.5-turbo,2025-09-01T00:25:27.670922,2433,0.8,3,False,3,3,True,True,,"coola, alba botanica, bare republic"
travel size mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:25:36.216984,1671,0.9000000000000001,4,False,4,4,True,False,,"coola, supergoop, cerave"
travel size mineral sunscreen,google,gemini-1.5-pro,2025-09-01T00:25:42.425120,3706,0.9000000000000001,8,False,7,7,True,True,,"thinksport, thinkbaby, blue lizard"
waterproof mineral sunscreen,openai,gpt-4,2025-09-01T00:25:46.594403,1904,0.9000000000000001,6,False,3,3,True,True,,"eltamd, neutrogena, blue lizard"
waterproof mineral sunscreen,openai,gpt-3.5-turbo,2025-09-01T00:25:37.062476,1968,0.9000000000000001,4,False,4,4,True,True,,"badger, coola, eltamd"
waterproof mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:25:47.548824,2503,0.9000000000000001,5,False,5,5,True,True,,"thinksport, blue lizard, badger"
waterproof mineral sunscreen,google,gemini-1.5-pro,2025-09-01T00:25:49.511655,3457,0.9000000000000001,6,False,6,6,True,True,,"thinksport, thinkbaby, blue lizard"
tinted mineral sunscreen powder,openai,gpt-4,2025-09-01T00:25:55.834875,2287,0.9000000000000001,4,False,1,1,True,True,,supergoop
tinted mineral sunscreen powder,openai,gpt-3.5-turbo,2025-09-01T00:25:46.404639,2146,0.6000000000000001,1,True,0,1,True,True,**Brush On Block Mineral Sunscreen Powder SPF 30**: Brush On Block offers a mineral sunscreen powder with SPF 30 protection that is easy to apply and reapply throughout the day,
tinted mineral sunscreen powder,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:25:56.611984,1909,0.6000000000000001,1,False,1,1,True,True,,supergoop
tinted mineral sunscreen powder,google,gemini-1.5-pro,2025-09-01T00:26:01.194868,3852,0.8,3,True,1,2,True,False,* **Brush On Block Mineral Sunscreen Powder SPF 30:** This is a budget-friendly option that provides good sun protection with non-nano zinc oxide,supergoop
mineral sunscreen that doesn't leave white cast,openai,gpt-4,2025-09-01T00:26:01.055680,2788,0.9000000000000001,5,False,2,2,True,True,,"supergoop, eltamd"
mineral sunscreen that doesn't leave white cast,openai,gpt-3.5-turbo,2025-09-01T00:25:53.456056,2160,0.7,2,False,2,2,True,True,,"cerave, eltamd"
mineral sunscreen that doesn't leave white cast,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:26:01.875142,1714,0.8,3,False,3,3,True,False,,"coola, supergoop, eltamd"
mineral sunscreen that doesn't leave white cast,google,gemini-1.5-pro,2025-09-01T00:26:11.035619,4060,0.9000000000000001,5,False,5,5,True,False,,"thinksport, blue lizard, supergoop"
sunscreen for acne prone skin mineral,openai,gpt-4,2025-09-01T00:26:05.183171,1599,0.9000000000000001,4,False,2,2,True,True,,"eltamd, neutrogena"
sunscreen for acne prone skin mineral,openai,gpt-3.5-turbo,2025-09-01T00:26:05.167422,2306,0.7,2,False,2,2,True,True,,"cerave, eltamd"
sunscreen for acne prone skin mineral,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:26:12.953598,2384,0.9000000000000001,8,False,4,4,True,False,,"coola, cerave, eltamd"
sunscreen for acne prone skin mineral,google,gemini-1.5-pro,2025-09-01T00:26:15.989634,3713,0.8,3,False,3,3,True,True,,"cerave, eltamd, blue lizard"
mineral sunscreen for dark skin tones,openai,gpt-4,2025-09-01T00:26:18.551814,2666,0.7,2,False,1,1,True,True,,supergoop
mineral sunscreen for dark skin tones,openai,gpt-3.5-turbo,2025-09-01T00:26:09.760391,2601,0.8,3,False,3,3,True,True,,"supergoop, cerave, eltamd"
mineral sunscreen for dark skin tones,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:26:22.761692,2582,0.5,0,False,0,0,True,False,,
mineral sunscreen for dark skin tones,google,gemini-1.5-pro,2025-09-01T00:26:25.649124,3928,0.8,3,False,3,3,True,True,,"thinksport, supergoop, eltamd"
non greasy mineral sunscreen,openai,gpt-4,2025-09-01T00:26:24.398326,1869,0.9000000000000001,6,False,3,3,True,True,,"eltamd, neutrogena, blue lizard"
non greasy mineral sunscreen,openai,gpt-3.5-turbo,2025-09-01T00:26:19.613673,2342,0.7,2,False,2,2,True,True,,"coola, eltamd"
non greasy mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-01T00:26:28.129368,1836,0.8,3,False,3,3,True,False,,"supergoop, cerave, eltamd"
