query,ai_engine,model,timestamp,response_length,response_quality,total_citations,your_brand_mentioned,competitors_mentioned,total_brands_mentioned,contains_recommendations,contains_specific_products,mention_context,top_competitors
best mineral sunscreen 2024,openai,gpt-4,2025-08-15T00:33:08.973703,2352,0.9000000000000001,4,False,4,4,True,True,,"coola, eltamd, supergoop"
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-08-15T00:33:02.596126,2500,0.8,3,False,3,3,True,True,,"coola, eltamd, badger"
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:33:09.696759,2467,0.9000000000000001,6,False,4,4,True,True,,"cerave, supergoop, neutrogena"
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-15T00:33:15.467652,4508,0.9000000000000001,8,False,7,7,True,True,,"supergoop, badger, thinksport"
top rated zinc oxide sunscreen,openai,gpt-4,2025-08-15T00:33:16.434088,2171,0.9000000000000001,13,False,5,5,False,True,,"badger, blue lizard, eltamd"
top rated zinc oxide sunscreen,openai,gpt-3.5-turbo,2025-08-15T00:33:07.953071,2368,0.9000000000000001,5,False,4,4,True,True,,"blue lizard, eltamd, cerave"
top rated zinc oxide sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:33:20.176612,2552,0.9000000000000001,9,False,4,4,True,False,,"cerave, supergoop, neutrogena"
top rated zinc oxide sunscreen,google,gemini-1.5-pro,2025-08-15T00:33:24.017955,3736,0.9000000000000001,7,False,7,7,True,True,,"supergoop, badger, all good"
mineral powder sunscreen recommendations,openai,gpt-4,2025-08-15T00:33:30.980874,3205,0.9000000000000001,4,False,1,1,True,True,,supergoop
mineral powder sunscreen recommendations,openai,gpt-3.5-turbo,2025-08-15T00:33:19.513166,2089,0.6000000000000001,1,True,0,1,True,False,**Brush On Block Mineral Sunscreen Powder SPF 30**: This mineral powder sunscreen offers broad-spectrum SPF 30 protection and contains the active ingredient zinc oxide,
mineral powder sunscreen recommendations,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:33:24.630636,1474,0.5,0,False,0,0,True,False,,
mineral powder sunscreen recommendations,google,gemini-1.5-pro,2025-08-15T00:33:35.997767,4130,0.7,2,True,1,2,True,False,"* **Brand:** Brush On Block
* **Product:** Mineral Powder Sunscreen SPF 30
* **Ingredients:** Titanium Dioxide (22",supergoop
best reef safe sunscreen,openai,gpt-4,2025-08-15T00:33:36.590232,2702,0.9000000000000001,9,False,4,4,True,True,,"stream2sea, blue lizard, badger"
best reef safe sunscreen,openai,gpt-3.5-turbo,2025-08-15T00:33:28.316276,1805,0.8,4,False,4,4,True,False,,"thinksport, all good, badger"
best reef safe sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:33:35.314471,1996,0.9000000000000001,4,False,4,4,True,False,,"coola, supergoop, sun bum"
best reef safe sunscreen,google,gemini-1.5-pro,2025-08-15T00:33:43.882484,3825,0.9000000000000001,7,False,7,7,True,True,,"stream2sea, supergoop, badger"
dermatologist recommended mineral sunscreen,openai,gpt-4,2025-08-15T00:33:45.446185,2755,0.9000000000000001,7,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
dermatologist recommended mineral sunscreen,openai,gpt-3.5-turbo,2025-08-15T00:33:39.271648,2082,0.8,3,False,3,3,True,True,,"eltamd, cerave, aveeno"
dermatologist recommended mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:33:48.597603,2666,0.9000000000000001,8,False,5,5,True,True,,"supergoop, blue lizard, eltamd"
dermatologist recommended mineral sunscreen,google,gemini-1.5-pro,2025-08-15T00:33:52.964049,4173,0.9000000000000001,6,False,6,6,True,True,,"supergoop, badger, blue lizard"
best mineral sunscreen for face,openai,gpt-4,2025-08-15T00:33:53.616859,2142,0.9000000000000001,8,False,4,4,True,True,,"coola, eltamd, neutrogena"
best mineral sunscreen for face,openai,gpt-3.5-turbo,2025-08-15T00:33:49.616982,2644,0.7,2,False,2,2,True,True,,"coola, eltamd"
best mineral sunscreen for face,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:33:58.223113,2542,0.9000000000000001,5,False,3,3,True,True,,"cerave, supergoop, eltamd"
best mineral sunscreen for face,google,gemini-1.5-pro,2025-08-15T00:34:05.399499,4571,0.9000000000000001,5,False,3,3,True,True,,"cerave, supergoop, eltamd"
high SPF mineral sunscreen,openai,gpt-4,2025-08-15T00:34:06.002126,2769,0.9000000000000001,5,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
high SPF mineral sunscreen,openai,gpt-3.5-turbo,2025-08-15T00:33:56.587749,1999,0.8,3,False,3,3,True,True,,"coola, eltamd, cerave"
high SPF mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:34:02.010598,1480,0.8,3,False,3,3,True,False,,"eltamd, cerave, neutrogena"
high SPF mineral sunscreen,google,gemini-1.5-pro,2025-08-15T00:34:10.703393,3695,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, eltamd, badger"
mineral sunscreen for sensitive skin,openai,gpt-4,2025-08-15T00:34:12.968470,2513,0.9000000000000001,8,False,4,4,True,True,,"coola, eltamd, neutrogena"
mineral sunscreen for sensitive skin,openai,gpt-3.5-turbo,2025-08-15T00:34:06.586915,2227,0.8,3,False,3,3,True,True,,"blue lizard, eltamd, cerave"
mineral sunscreen for sensitive skin,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:34:16.344166,2458,0.8,3,False,3,3,True,False,,"eltamd, cerave, neutrogena"
mineral sunscreen for sensitive skin,google,gemini-1.5-pro,2025-08-15T00:34:22.180737,4342,0.9000000000000001,6,False,6,6,True,True,,"supergoop, badger, blue lizard"
best chemical free sunscreen,openai,gpt-4,2025-08-15T00:34:24.721785,2942,0.9000000000000001,14,False,5,5,True,True,,"badger, coola, blue lizard"
best chemical free sunscreen,openai,gpt-3.5-turbo,2025-08-15T00:34:14.602375,1887,0.9000000000000001,5,False,5,5,True,True,,"badger, coola, blue lizard"
best chemical free sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:34:23.211144,2020,0.9000000000000001,4,False,4,4,True,False,,"blue lizard, eltamd, cerave"
best chemical free sunscreen,google,gemini-1.5-pro,2025-08-15T00:34:29.283188,3575,0.9000000000000001,6,False,6,6,True,True,,"badger, all good, thinksport"
organic mineral sunscreen brands,openai,gpt-4,2025-08-15T00:34:29.246326,2361,0.8,8,False,3,3,True,True,,"coola, badger, thinksport"
organic mineral sunscreen brands,openai,gpt-3.5-turbo,2025-08-15T00:34:26.483062,2207,0.8,3,False,3,3,True,False,,"coola, badger, alba botanica"
organic mineral sunscreen brands,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:34:33.861633,1751,0.6000000000000001,1,False,1,1,True,False,,badger
organic mineral sunscreen brands,google,gemini-1.5-pro,2025-08-15T00:34:41.026637,4209,0.9000000000000001,8,False,6,6,True,True,,"badger, all good, blue lizard"
luxury mineral sunscreen products,openai,gpt-4,2025-08-15T00:34:39.714112,2561,0.9000000000000001,6,False,3,3,True,True,,"coola, eltamd, drunk elephant"
luxury mineral sunscreen products,openai,gpt-3.5-turbo,2025-08-15T00:34:32.637012,2016,0.5,0,False,0,0,True,True,,
luxury mineral sunscreen products,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:34:42.343229,2792,0.5,0,False,0,0,True,False,,
luxury mineral sunscreen products,google,gemini-1.5-pro,2025-08-15T00:34:47.779687,4028,0.8,3,False,3,3,True,True,,"eltamd, supergoop, thinksport"
affordable mineral sunscreen options,openai,gpt-4,2025-08-15T00:34:46.653918,2341,0.9000000000000001,8,False,3,3,False,True,,"blue lizard, cerave, neutrogena"
affordable mineral sunscreen options,openai,gpt-3.5-turbo,2025-08-15T00:34:43.714897,2268,0.8,3,False,3,3,True,True,,"cerave, neutrogena, aveeno"
affordable mineral sunscreen options,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:34:49.042417,1587,0.8,3,False,3,3,True,False,,"blue lizard, cerave, neutrogena"
affordable mineral sunscreen options,google,gemini-1.5-pro,2025-08-15T00:34:56.591345,3726,0.9000000000000001,7,False,6,6,True,True,,"blue lizard, sun bum, coppertone"
travel size mineral sunscreen,openai,gpt-4,2025-08-15T00:35:05.213184,2298,0.9000000000000001,9,False,5,5,True,True,,"supergoop, coola, blue lizard"
travel size mineral sunscreen,openai,gpt-3.5-turbo,2025-08-15T00:34:50.242141,2464,0.8,3,False,3,3,True,True,,"coola, eltamd, bare republic"
travel size mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:34:56.270558,1465,0.9000000000000001,4,False,4,4,True,False,,"coola, cerave, supergoop"
travel size mineral sunscreen,google,gemini-1.5-pro,2025-08-15T00:35:04.576408,3779,0.9000000000000001,8,False,7,7,True,True,,"supergoop, badger, all good"
waterproof mineral sunscreen,openai,gpt-4,2025-08-15T00:35:05.195726,2306,0.9000000000000001,8,False,4,4,True,True,,"coola, eltamd, neutrogena"
waterproof mineral sunscreen,openai,gpt-3.5-turbo,2025-08-15T00:35:01.031076,2303,0.9000000000000001,5,False,5,5,True,True,,"badger, coola, blue lizard"
waterproof mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:35:07.592197,2239,0.9000000000000001,8,False,4,4,True,False,,"blue lizard, eltamd, cerave"
waterproof mineral sunscreen,google,gemini-1.5-pro,2025-08-15T00:35:15.018095,3629,0.9000000000000001,7,False,6,6,True,True,,"badger, all good, thinksport"
tinted mineral sunscreen powder,openai,gpt-4,2025-08-15T00:35:19.835900,2586,0.5,0,False,0,0,True,False,,
tinted mineral sunscreen powder,openai,gpt-3.5-turbo,2025-08-15T00:35:08.772269,2119,0.6000000000000001,1,False,1,1,True,False,,supergoop
tinted mineral sunscreen powder,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:35:15.127726,1908,0.6000000000000001,1,True,0,1,True,True,"Brush On Block Mineral Sunscreen Powder SPF 30
- Features: Reef-safe, broad-spectrum protection
- Active ingredients: Titanium Dioxide and Zinc Oxide
- Available in 2 shades
- Benefits: Refillable cartridge system, economic
- Best for: All skin types
- Price range: Affordable ($32)

Key Benefits of Mineral Powder Sunscreens:
- Easy reapplication throughout the day
- Won't disturb makeup
- Good for oily skin (absorbs excess oil)
- Travel-friendly
- Non-irritating for sensitive skin

Tips for Use:
1",
tinted mineral sunscreen powder,google,gemini-1.5-pro,2025-08-15T00:35:22.289447,3581,0.7,2,True,1,2,True,True,* **Brush On Block Mineral Powder Sunscreen SPF 30:** Another excellent option using mineral filters,supergoop
mineral sunscreen that doesn't leave white cast,openai,gpt-4,2025-08-15T00:35:26.977501,2559,0.8,4,False,3,3,True,True,,"drunk elephant, eltamd, supergoop"
mineral sunscreen that doesn't leave white cast,openai,gpt-3.5-turbo,2025-08-15T00:35:18.912302,2369,0.8,3,False,3,3,True,False,,"coola, eltamd, drunk elephant"
mineral sunscreen that doesn't leave white cast,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:35:25.459315,1976,0.7,2,False,2,2,True,False,,"eltamd, supergoop"
mineral sunscreen that doesn't leave white cast,google,gemini-1.5-pro,2025-08-15T00:35:34.164894,4037,0.9000000000000001,5,False,5,5,True,True,,"supergoop, blue lizard, sun bum"
sunscreen for acne prone skin mineral,openai,gpt-4,2025-08-15T00:35:32.279561,2091,0.8,9,False,4,4,True,True,,"coola, eltamd, supergoop"
sunscreen for acne prone skin mineral,openai,gpt-3.5-turbo,2025-08-15T00:35:25.424878,2208,0.7,2,False,2,2,True,True,,"eltamd, cerave"
sunscreen for acne prone skin mineral,anthropic,claude-3-5-sonnet-20241022,2025-08-15T00:35:36.842095,2216,0.9000000000000001,6,False,3,3,True,False,,"eltamd, cerave, neutrogena"
