query,ai_engine,model,timestamp,brand,product,position,sentiment,mention_type,confidence,context,is_your_brand
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,eltamd,spectrum,4,positive,indirect,0.8,**EltaMD UV Physical Broad-Spectrum SPF 41**: This sunscreen is a favorite among dermatologists,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,neutrogena,spectrum,12,neutral,indirect,0.8,**Neutrogena Sheer Zinc Dry-Touch Sunscreen Broad Spectrum SPF 50**: This is a budget-friendly option that offers broad-spectrum protection using naturally-sourced 100% zinc oxide,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,coola,face,15,neutral,indirect,0.8,**COOLA Mineral Face SPF 30 Matte Finish Cucumber**: This sunscreen not only protects against the sun but also fights signs of aging,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,blue lizard,sensitive,18,neutral,indirect,0.8,"**Blue Lizard Australian Sunscreen, Sensitive SPF 30+**: This sunscreen is specially designed for sensitive skin and is free of chemicals and fragrances",False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,supergoop,,21,neutral,indirect,0.5,**Supergoop,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,eltamd,spectrum,27,neutral,indirect,0.8,EltaMD UV Physical Broad-Spectrum SPF 41,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,eltamd,,31,neutral,indirect,0.5,EltaMD,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,eltamd,,32,neutral,indirect,0.5,https://eltamd,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,neutrogena,spectrum,43,neutral,indirect,0.8,Neutrogena Sheer Zinc Dry-Touch Sunscreen Broad Spectrum SPF 50,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,neutrogena,,47,neutral,indirect,0.5,Neutrogena,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,neutrogena,,49,neutral,indirect,0.5,neutrogena,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,coola,face,52,neutral,indirect,0.8,COOLA Mineral Face SPF 30 Matte Finish Cucumber,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,coola,,56,neutral,indirect,0.5,COOLA,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,coola,,57,neutral,indirect,0.5,https://coola,False
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,blue lizard,sensitive,59,neutral,indirect,0.8,"Blue Lizard Australian Sunscreen, Sensitive SPF 30+",False
