query,ai_engine,model,timestamp,response_length,response_quality,total_citations,your_brand_mentioned,competitors_mentioned,total_brands_mentioned,contains_recommendations,contains_specific_products,mention_context,top_competitors
best mineral sunscreen 2024,openai,gpt-4,2025-08-18T00:21:53.584388,2962,0.9000000000000001,19,False,5,5,True,True,,"coola, eltamd, blue lizard"
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-08-18T00:21:42.218574,2841,0.9000000000000001,5,False,4,4,True,True,,"supergoop, coola, eltamd"
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:21:45.398254,1901,0.8,3,False,3,3,True,False,,"cerave, eltamd, thinksport"
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-18T00:21:53.441157,4657,0.9000000000000001,7,False,7,7,True,True,,"thinksport, eltamd, badger"
top rated zinc oxide sunscreen,openai,gpt-4,2025-08-18T00:21:49.025428,2160,0.9000000000000001,13,False,5,5,True,True,,"eltamd, aveeno, cerave"
top rated zinc oxide sunscreen,openai,gpt-3.5-turbo,2025-08-18T00:21:47.725529,2117,0.9000000000000001,4,False,4,4,True,True,,"cerave, blue lizard, eltamd"
top rated zinc oxide sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:21:57.212318,2356,0.9000000000000001,6,False,4,4,True,False,,"cerave, eltamd, neutrogena"
top rated zinc oxide sunscreen,google,gemini-1.5-pro,2025-08-18T00:22:03.585089,4003,0.9000000000000001,9,False,9,9,True,True,,"coola, sun bum, thinksport"
mineral powder sunscreen recommendations,openai,gpt-4,2025-08-18T00:22:05.860666,2990,0.9000000000000001,5,True,1,2,True,False,"**Brush On Block Broad Spectrum SPF 30 Mineral Powder Sunscreen**
   - This product uses titanium dioxide and zinc oxide to provide broad-spectrum SPF 30 protection",supergoop
mineral powder sunscreen recommendations,openai,gpt-3.5-turbo,2025-08-18T00:21:57.649860,2210,0.8,3,True,1,2,True,False,"**Brush on Block Mineral Sunscreen Powder SPF 30**: This mineral powder sunscreen comes in a convenient brush-on packaging, making it easy to apply and reapply throughout the day",supergoop
mineral powder sunscreen recommendations,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:22:01.935558,1671,0.5,0,False,0,0,True,False,,
mineral powder sunscreen recommendations,google,gemini-1.5-pro,2025-08-18T00:22:11.849546,3624,0.8,3,True,2,3,True,False,* **Brush On Block Mineral Powder Sunscreen SPF 30:** This budget-friendly option offers broad-spectrum protection and is water-resistant for up to 80 minutes,"thinkbaby, supergoop"
best reef safe sunscreen,openai,gpt-4,2025-08-18T00:22:14.062638,2730,0.9000000000000001,10,False,4,4,True,True,,"all good, blue lizard, thinksport"
best reef safe sunscreen,openai,gpt-3.5-turbo,2025-08-18T00:22:05.158244,2007,0.8,3,False,3,3,True,True,,"all good, thinksport, badger"
best reef safe sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:22:13.418040,1916,0.9000000000000001,4,False,4,4,True,False,,"all good, coola, blue lizard"
best reef safe sunscreen,google,gemini-1.5-pro,2025-08-18T00:22:21.292231,3994,0.9000000000000001,11,False,9,9,True,True,,"sun bum, eltamd, all good"
dermatologist recommended mineral sunscreen,openai,gpt-4,2025-08-18T00:22:19.226447,2321,0.9000000000000001,4,False,4,4,True,True,,"coola, eltamd, neutrogena"
dermatologist recommended mineral sunscreen,openai,gpt-3.5-turbo,2025-08-18T00:22:15.407366,1937,0.8,3,False,3,3,True,True,,"cerave, eltamd, aveeno"
dermatologist recommended mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:22:24.085662,2389,0.8,3,False,3,3,True,False,,"cerave, eltamd, neutrogena"
dermatologist recommended mineral sunscreen,google,gemini-1.5-pro,2025-08-18T00:22:29.948299,3978,0.9000000000000001,5,False,4,4,True,False,,"cerave, thinkbaby, eltamd"
best mineral sunscreen for face,openai,gpt-4,2025-08-18T00:22:31.430568,2655,0.9000000000000001,9,False,4,4,True,True,,"coola, eltamd, neutrogena"
best mineral sunscreen for face,openai,gpt-3.5-turbo,2025-08-18T00:22:23.229767,2416,0.8,3,False,3,3,True,True,,"coola, eltamd, drunk elephant"
best mineral sunscreen for face,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:22:34.023298,2551,0.8,3,False,3,3,True,False,,"cerave, eltamd, neutrogena"
best mineral sunscreen for face,google,gemini-1.5-pro,2025-08-18T00:22:37.984264,4143,0.9000000000000001,5,False,5,5,True,True,,"thinksport, eltamd, aveeno"
high SPF mineral sunscreen,openai,gpt-4,2025-08-18T00:22:46.982068,3042,0.9000000000000001,11,False,4,4,True,True,,"cerave, blue lizard, eltamd"
high SPF mineral sunscreen,openai,gpt-3.5-turbo,2025-08-18T00:22:32.386919,1526,0.8,3,False,3,3,True,True,,"supergoop, coola, eltamd"
high SPF mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:22:40.362074,1517,0.8,3,False,3,3,True,False,,"cerave, eltamd, neutrogena"
high SPF mineral sunscreen,google,gemini-1.5-pro,2025-08-18T00:22:47.137955,3737,0.9000000000000001,6,False,6,6,True,True,,"thinksport, eltamd, all good"
mineral sunscreen for sensitive skin,openai,gpt-4,2025-08-18T00:22:49.800514,2698,0.9000000000000001,11,False,4,4,True,True,,"cerave, blue lizard, eltamd"
mineral sunscreen for sensitive skin,openai,gpt-3.5-turbo,2025-08-18T00:22:42.971790,2293,0.9000000000000001,4,False,4,4,True,True,,"cerave, blue lizard, eltamd"
mineral sunscreen for sensitive skin,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:22:52.786779,2633,0.7,2,False,2,2,True,False,,"cerave, eltamd"
mineral sunscreen for sensitive skin,google,gemini-1.5-pro,2025-08-18T00:22:57.329296,3914,0.9000000000000001,5,False,5,5,True,True,,"eltamd, badger, cerave"
best chemical free sunscreen,openai,gpt-4,2025-08-18T00:23:04.819489,2261,0.9000000000000001,7,False,4,4,True,True,,"coola, blue lizard, thinksport"
best chemical free sunscreen,openai,gpt-3.5-turbo,2025-08-18T00:22:53.294018,1931,0.9000000000000001,5,False,5,5,True,False,,"coola, sun bum, thinksport"
best chemical free sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:22:58.846981,1724,0.9000000000000001,4,False,4,4,True,True,,"cerave, supergoop, eltamd"
best chemical free sunscreen,google,gemini-1.5-pro,2025-08-18T00:23:09.794981,4334,0.9000000000000001,6,False,5,5,True,True,,"sun bum, eltamd, badger"
organic mineral sunscreen brands,openai,gpt-4,2025-08-18T00:23:11.808604,2197,0.9000000000000001,9,False,4,4,False,True,,"coola, blue lizard, goddess garden"
organic mineral sunscreen brands,openai,gpt-3.5-turbo,2025-08-18T00:23:01.215308,1915,0.8,3,False,3,3,True,True,,"coola, all good, badger"
organic mineral sunscreen brands,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:23:07.806446,1783,0.7,2,False,2,2,True,False,,"coola, badger"
organic mineral sunscreen brands,google,gemini-1.5-pro,2025-08-18T00:23:14.784172,3492,0.9000000000000001,10,False,6,6,True,True,,"sun bum, all good, goddess garden"
luxury mineral sunscreen products,openai,gpt-4,2025-08-18T00:23:17.422924,2526,0.9000000000000001,7,False,2,2,True,True,,"supergoop, eltamd"
luxury mineral sunscreen products,openai,gpt-3.5-turbo,2025-08-18T00:23:12.128256,2463,0.5,0,False,0,0,True,True,,
luxury mineral sunscreen products,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:23:23.728991,2936,0.5,0,False,0,0,True,False,,
luxury mineral sunscreen products,google,gemini-1.5-pro,2025-08-18T00:23:26.878652,4069,0.9000000000000001,4,False,4,4,True,True,,"thinkbaby, coola, eltamd"
affordable mineral sunscreen options,openai,gpt-4,2025-08-18T00:23:31.165912,2708,0.9000000000000001,11,False,4,4,False,True,,"cerave, blue lizard, neutrogena"
affordable mineral sunscreen options,openai,gpt-3.5-turbo,2025-08-18T00:23:18.732063,2468,0.8,3,False,3,3,True,True,,"cerave, eltamd, neutrogena"
affordable mineral sunscreen options,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:23:25.788400,1705,0.7,2,False,2,2,True,True,,"cerave, neutrogena"
affordable mineral sunscreen options,google,gemini-1.5-pro,2025-08-18T00:23:33.359929,3542,0.9000000000000001,4,False,4,4,True,True,,"cerave, sun bum, blue lizard"
travel size mineral sunscreen,openai,gpt-4,2025-08-18T00:23:38.766187,2381,0.9000000000000001,6,False,3,3,True,False,,"coola, blue lizard, neutrogena"
travel size mineral sunscreen,openai,gpt-3.5-turbo,2025-08-18T00:23:31.166137,2350,0.9000000000000001,5,False,4,4,True,True,,"supergoop, coola, eltamd"
travel size mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:23:36.080047,1759,0.9000000000000001,4,False,4,4,True,False,,"cerave, supergoop, coola"
travel size mineral sunscreen,google,gemini-1.5-pro,2025-08-18T00:23:47.665803,3741,0.9000000000000001,7,False,6,6,True,True,,"thinksport, all good, badger"
waterproof mineral sunscreen,openai,gpt-4,2025-08-18T00:23:46.051753,2749,0.9000000000000001,9,False,4,4,False,True,,"coola, eltamd, neutrogena"
waterproof mineral sunscreen,openai,gpt-3.5-turbo,2025-08-18T00:23:36.495811,2003,0.9000000000000001,6,False,3,3,True,True,,"coola, eltamd, blue lizard"
waterproof mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-18T00:23:46.365148,1980,0.9000000000000001,4,False,4,4,True,False,,"cerave, blue lizard, eltamd"
