query,ai_engine,model,timestamp,response_length,response_quality,total_citations,your_brand_mentioned,competitors_mentioned,total_brands_mentioned,contains_recommendations,contains_specific_products,mention_context,top_competitors
best mineral sunscreen 2024,openai,gpt-4,2025-08-31T23:52:55.842108,2574,0.9000000000000001,11,False,4,4,True,True,,"coola, neutrogena, eltamd"
best mineral sunscreen 2024,openai,gpt-3.5-turbo,2025-08-31T23:52:37.587290,2398,0.9000000000000001,4,False,4,4,True,True,,"eltamd, coola, badger"
best mineral sunscreen 2024,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:52:45.478056,2390,0.9000000000000001,4,False,4,4,True,False,,"eltamd, neutrogena, cerave"
best mineral sunscreen 2024,google,gemini-1.5-pro,2025-08-31T23:52:49.455362,4075,0.9000000000000001,7,False,7,7,True,True,,"aveeno, supergoop, badger"
top rated zinc oxide sunscreen,openai,gpt-4,2025-08-31T23:52:50.911035,2656,0.9000000000000001,15,False,4,4,True,True,,"eltamd, neutrogena, badger"
top rated zinc oxide sunscreen,openai,gpt-3.5-turbo,2025-08-31T23:52:41.775543,2040,0.9000000000000001,5,False,4,4,True,True,,"eltamd, thinkbaby, cerave"
top rated zinc oxide sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:52:51.607261,1933,0.8,3,False,3,3,True,False,,"supergoop, cerave, eltamd"
top rated zinc oxide sunscreen,google,gemini-1.5-pro,2025-08-31T23:53:02.289505,4215,0.9000000000000001,8,False,5,5,True,True,,"badger, blue lizard, eltamd"
mineral powder sunscreen recommendations,openai,gpt-4,2025-08-31T23:53:02.763697,2670,0.7,2,True,0,1,True,True,"**Brush On Block Mineral Sunscreen Powder, Broad Spectrum SPF 30**
   Brush On Block is another good option, with a transparent mineral powder that you can apply and reapply throughout the day",
mineral powder sunscreen recommendations,openai,gpt-3.5-turbo,2025-08-31T23:52:55.838831,2460,0.7,2,True,1,2,True,False,"**Brush On Block Translucent Mineral Powder Sunscreen SPF 30**: This mineral powder sunscreen is water-resistant and sweat-resistant, making it a great choice for outdoor activities",supergoop
mineral powder sunscreen recommendations,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:52:58.671729,1364,0.5,0,False,0,0,True,False,,
mineral powder sunscreen recommendations,google,gemini-1.5-pro,2025-08-31T23:53:11.675229,4248,0.7,2,True,1,2,True,False,"**Here are some recommended mineral powder sunscreens, categorized by skin type and need:**

**For Sensitive Skin:**

* **Brush On Block Mineral Powder Sunscreen SPF 30:** This brand is specifically formulated for sensitive skin and is fragrance-free, oil-free, and hypoallergenic",supergoop
best reef safe sunscreen,openai,gpt-4,2025-08-31T23:53:09.630401,2572,0.9000000000000001,11,False,5,5,True,True,,"badger, blue lizard, all good"
best reef safe sunscreen,openai,gpt-3.5-turbo,2025-08-31T23:53:03.582078,1589,0.8,4,False,4,4,True,False,,"sun bum, all good, thinksport"
best reef safe sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:53:10.636338,1757,0.9000000000000001,4,False,4,4,True,False,,"all good, thinksport, bare republic"
best reef safe sunscreen,google,gemini-1.5-pro,2025-08-31T23:53:17.041975,3673,0.9000000000000001,6,False,6,6,True,True,,"supergoop, badger, blue lizard"
dermatologist recommended mineral sunscreen,openai,gpt-4,2025-08-31T23:53:16.694608,2232,0.9000000000000001,6,False,3,3,True,True,,"neutrogena, eltamd, blue lizard"
dermatologist recommended mineral sunscreen,openai,gpt-3.5-turbo,2025-08-31T23:53:12.491374,1659,0.7,2,False,1,1,True,True,,eltamd
dermatologist recommended mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:53:24.480583,3106,0.9000000000000001,9,False,3,3,True,True,,"neutrogena, cerave, eltamd"
dermatologist recommended mineral sunscreen,google,gemini-1.5-pro,2025-08-31T23:53:29.155636,4476,0.9000000000000001,6,False,6,6,True,True,,"aveeno, supergoop, blue lizard"
best mineral sunscreen for face,openai,gpt-4,2025-08-31T23:53:25.605621,2307,0.9000000000000001,6,False,5,5,True,True,,"supergoop, neutrogena, blue lizard"
best mineral sunscreen for face,openai,gpt-3.5-turbo,2025-08-31T23:53:20.684842,2635,0.9000000000000001,5,False,3,3,True,True,,"supergoop, coola, eltamd"
best mineral sunscreen for face,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:53:29.419518,2479,0.9000000000000001,7,False,4,4,True,False,,"supergoop, cerave, drunk elephant"
best mineral sunscreen for face,google,gemini-1.5-pro,2025-08-31T23:53:35.879039,4170,0.9000000000000001,4,False,2,2,True,True,,"supergoop, eltamd"
high SPF mineral sunscreen,openai,gpt-4,2025-08-31T23:53:36.149635,1878,0.9000000000000001,8,False,4,4,True,True,,"coola, neutrogena, eltamd"
high SPF mineral sunscreen,openai,gpt-3.5-turbo,2025-08-31T23:53:29.364556,1874,0.7,2,False,2,2,True,True,,"cerave, eltamd"
high SPF mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:53:38.712863,1902,0.8,3,False,3,3,True,False,,"eltamd, cerave, blue lizard"
high SPF mineral sunscreen,google,gemini-1.5-pro,2025-08-31T23:53:43.628676,3744,0.9000000000000001,5,False,5,5,True,True,,"supergoop, badger, blue lizard"
mineral sunscreen for sensitive skin,openai,gpt-4,2025-08-31T23:53:45.313761,2591,0.9000000000000001,7,False,3,3,True,True,,"neutrogena, eltamd, blue lizard"
mineral sunscreen for sensitive skin,openai,gpt-3.5-turbo,2025-08-31T23:53:39.111440,2335,0.8,3,False,3,3,True,True,,"eltamd, cerave, blue lizard"
mineral sunscreen for sensitive skin,anthropic,claude-3-5-sonnet-20241022,2025-08-31T23:53:46.294502,2148,0.9000000000000001,4,False,2,2,True,False,,"cerave, eltamd"
mineral sunscreen for sensitive skin,google,gemini-1.5-pro,2025-08-31T23:53:53.189895,3893,0.9000000000000001,5,False,5,5,True,True,,"badger, blue lizard, eltamd"
best chemical free sunscreen,openai,gpt-4,2025-08-31T23:53:56.936058,2758,0.9000000000000001,8,False,3,3,True,True,,"thinksport, badger, blue lizard"
best chemical free sunscreen,openai,gpt-3.5-turbo,2025-08-31T23:53:47.003154,2171,0.9000000000000001,4,False,4,4,True,True,,"thinkbaby, all good, badger"
